timestamp	key	value
1670778914783	tick_network	5.0
1670778914783	tick_jobs	0.0
1670778914937	tick_worlds	154.0
1670778914937	tick	160.0
1670778914937	tick_network	0.0
1670778914937	tick_jobs	0.0
1670778914940	tick_worlds	3.0
1670778914940	tick	3.0
1670778914940	tick_network	0.0
1670778914940	tick_jobs	0.0
1670778914941	tick_worlds	1.0
1670778914941	tick	1.0
1670778914941	tick_network	0.0
1670778914941	tick_jobs	0.0
1670778914942	tick_worlds	1.0
1670778914942	tick	1.0
1670778914993	tick_network	0.0
1670778914993	tick_jobs	0.0
1670778914996	tick_worlds	3.0
1670778914996	tick	3.0
1670778915026	tick_network	0.0
1670778915026	tick_jobs	0.0
1670778915027	tick_worlds	1.0
1670778915027	tick	1.0
1670778915076	tick_network	0.0
1670778915076	tick_jobs	0.0
1670778915077	tick_worlds	0.0
1670778915077	tick	2.0
1670778915125	tick_network	0.0
1670778915126	tick_jobs	0.0
1670778915126	tick_worlds	0.0
1670778915126	tick	1.0
1670778915176	tick_network	1.0
1670778915176	tick_jobs	0.0
1670778915176	tick_worlds	0.0
1670778915176	tick	1.0
1670778915226	tick_network	1.0
1670778915226	tick_jobs	0.0
1670778915227	tick_worlds	1.0
1670778915227	tick	2.0
1670778915276	tick_network	0.0
1670778915276	tick_jobs	0.0
1670778915276	tick_worlds	0.0
1670778915276	tick	0.0
1670778915326	tick_network	0.0
1670778915326	tick_jobs	0.0
1670778915326	tick_worlds	0.0
1670778915326	tick	0.0
1670778915376	tick_network	0.0
1670778915376	tick_jobs	0.0
1670778915376	tick_worlds	0.0
1670778915376	tick	0.0
1670778915426	tick_network	0.0
1670778915426	tick_jobs	0.0
1670778915426	tick_worlds	0.0
1670778915426	tick	0.0
1670778915476	tick_network	0.0
1670778915476	tick_jobs	0.0
1670778915476	tick_worlds	0.0
1670778915476	tick	0.0
1670778915526	tick_network	0.0
1670778915526	tick_jobs	0.0
1670778915526	tick_worlds	0.0
1670778915526	tick	0.0
1670778915576	tick_network	0.0
1670778915576	tick_jobs	0.0
1670778915576	tick_worlds	0.0
1670778915576	tick	0.0
1670778915626	tick_network	0.0
1670778915626	tick_jobs	0.0
1670778915626	tick_worlds	0.0
1670778915626	tick	0.0
1670778915676	tick_network	0.0
1670778915676	tick_jobs	0.0
1670778915676	tick_worlds	0.0
1670778915676	tick	0.0
1670778915726	tick_network	0.0
1670778915726	tick_jobs	0.0
1670778915726	tick_worlds	0.0
1670778915726	tick	0.0
1670778915776	tick_network	0.0
1670778915776	tick_jobs	0.0
1670778915776	tick_worlds	0.0
1670778915776	tick	0.0
1670778915826	tick_network	0.0
1670778915826	tick_jobs	0.0
1670778915826	tick_worlds	0.0
1670778915826	tick	0.0
1670778915876	tick_network	0.0
1670778915876	tick_jobs	0.0
1670778915876	tick_worlds	0.0
1670778915876	tick	0.0
1670778915926	tick_network	0.0
1670778915926	tick_jobs	0.0
1670778915926	tick_worlds	0.0
1670778915926	tick	0.0
1670778915976	tick_network	0.0
1670778915976	tick_jobs	0.0
1670778915976	tick_worlds	0.0
1670778915976	tick	0.0
1670778916026	tick_network	0.0
1670778916026	tick_jobs	0.0
1670778916026	tick_worlds	0.0
1670778916026	tick	0.0
1670778916076	tick_network	0.0
1670778916076	tick_jobs	0.0
1670778916076	tick_worlds	0.0
1670778916076	tick	0.0
1670778916126	tick_network	0.0
1670778916126	tick_jobs	0.0
1670778916126	tick_worlds	0.0
1670778916126	tick	0.0
1670778916176	tick_network	0.0
1670778916176	tick_jobs	0.0
1670778916176	tick_worlds	0.0
1670778916176	tick	0.0
1670778916226	tick_network	0.0
1670778916226	tick_jobs	0.0
1670778916226	tick_worlds	0.0
1670778916226	tick	0.0
1670778916276	tick_network	0.0
1670778916276	tick_jobs	0.0
1670778916277	tick_worlds	1.0
1670778916277	tick	1.0
1670778916326	tick_network	0.0
1670778916326	tick_jobs	0.0
1670778916327	tick_worlds	1.0
1670778916327	tick	1.0
1670778916376	tick_network	0.0
1670778916376	tick_jobs	0.0
1670778916376	tick_worlds	0.0
1670778916376	tick	0.0
