timestamp	mspt
1670634082784.0796	20
1670634083848.0938	20
1670634084895.1733	20
1670634085940.0708	20
1670634086990.435	20
1670634088038.826	20
1670634089090.1433	20
1670634090139.3477	20
1670634091238.519	20
1670634092253.0898	20
1670634093308.0596	20
1670634094361.802	20
1670634095408.6233	20
1670634096459.4153	20
1670634097510.261	20
1670634098560.0737	20
1670634099609.873	20
1670634100661.65	20
1670634101711.3223	20
1670634102762.7915	20
1670634103811.6926	20
1670634104860.6611	20
1670634105914.3916	20
1670634106962.1663	20
1670634108016.09	20
1670634109037.9365	20
1670634110073.2766	20
1670634111111.9414	20
1670634112162.191	20
1670634113212.1138	20
1670634114233.9944	20
1670634115276.1726	20
1670634116328.0627	20
1670634117380.1277	20
1670634118428.1772	20
1670634119480.0867	20
1670634120492.2388	20
1670634121550.5942	20
1670634122603.1562	20
1670634123655.7769	20
1670634124703.861	20
1670634125748.0708	20
1670634126799.1138	20
1670634127849.757	20
1670634128898.8225	20
1670634129949.812	20
1670634130999.4478	20
1670634132049.166	20
1670634133099.3203	20
1670634134150.0886	20
1670634135200.068	20
1670634136249.8398	20
1670634137259.4817	20
1670634138310.0212	20
1670634139360.074	20
1670634140411.5156	20
1670634141461.204	20
1670634142509.9495	20
1670634143560.0713	20
1670634144610.0496	20
1670634145660.0762	20
1670634146711.6025	20
1670634147764.07	20
1670634148813.906	20
1670634149861.8796	20
1670634150911.3567	20
1670634151961.6194	20
1670634153011.7676	20
1670634154061.6758	20
1670634155113.2527	20
1670634156163.283	20
1670634157213.3867	20
1670634158262.9934	20
1670634159313.7969	20
1670634160363.2556	20
1670634161415.1897	20
1670634162467.6233	20
1670634163515.4802	20
1670634164564.0024	20
1670634165613.7678	20
1670634166666.442	20
1670634167714.6714	20
1670634168764.0715	20
1670634169816.08	20
1670634170864.681	20
1670634171916.0574	20
1670634172965.9094	20
1670634174017.4553	20
1670634175066.1409	20
1670634176116.0837	20
1670634177166.729	20
1670634178216.1182	20
1670634179269.9048	20
1670634180316.1475	20
1670634181366.7031	20
1670634182417.8862	20
1670634183468.6174	20
1670634184516.0874	20
1670634185579.068	20
1670634186628.635	20
1670634187678.4263	20
1670634188730.707	20
1670634189780.0771	20
1670634190829.1643	20
1670634191880.073	20
1670634192930.8525	20
1670634193980.0723	20
1670634195031.0208	20
1670634196080.0537	20
1670634197130.226	20
1670634198180.623	20
1670634199231.0667	20
1670634200248.0784	20
1670634201298.3992	20
1670634202348.663	20
1670634203398.4717	20
1670634204450.4014	20
1670634205499.295	20
1670634206550.2378	20
1670634207599.1077	20
1670634208648.673	20
1670634209701.612	20
1670634210749.5876	20
1670634211806.5293	20
1670634212850.876	20
1670634213904.0642	20
1670634214954.1206	20
1670634216004.5378	20
1670634217057.311	20
1670634218105.4236	20
1670634219155.7405	20
1670634220205.531	20
1670634221255.6064	20
1670634222305.803	20
1670634223355.9993	20
1670634224406.9902	20
1670634225456.7905	20
1670634226506.068	20
1670634227576.0784	20
1670634228624.629	20
1670634229673.494	20
1670634230724.6216	20
1670634231774.6897	20
1670634232825.2842	20
1670634233875.5725	20
1670634234926.5474	20
1670634235975.8936	20
1670634237029.7144	20
1670634238077.519	20
1670634239126.361	20
1670634240176.1125	20
1670634241182.1658	20
1670634242233.7646	20
1670634243282.0818	20
1670634244332.704	20
1670634245382.6304	20
1670634246432.0657	20
1670634247483.0144	20
1670634248534.259	20
1670634249587.0315	20
1670634250636.6196	20
1670634251686.0251	20
1670634252733.723	20
1670634253764.0845	20
1670634254805.5376	20
1670634255854.8894	20
1670634256905.7493	20
1670634257955.9758	20
1670634259004.0762	20
1670634260055.943	20
1670634261109.8345	20
1670634262157.253	20
1670634263207.4482	20
1670634264257.8547	20
1670634265308.0764	20
1670634266356.0742	20
1670634267410.7507	20
1670634268466.7112	20
1670634269522.1758	20
1670634270573.487	20
1670634271590.4104	20
1670634272647.3271	20
1670634273695.461	20
1670634274759.6956	20
1670634275812.119	20
1670634276866.8193	20
1670634277918.4143	20
1670634278927.1145	20
1670634279977.6643	20
1670634281033.9548	20
1670634282087.399	20
1670634283141.758	20
1670634284193.3135	20
1670634285204.0835	20
1670634286216.0452	20
1670634287224.0664	20
1670634288272.647	20
1670634289327.9512	20
1670634290380.076	20
1670634291433.4197	20
1670634292445.5205	20
1670634293504.621	20
1670634294565.8372	20
1670634295573.8752	20
1670634296586.1345	20
1670634297617.4302	20
1670634298626.271	20
1670634299673.1062	20
1670634300733.9875	20
1670634301796.08	20
1670634302856.116	20
1670634303917.7056	20
1670634304930.4749	20
1670634305987.4216	20
1670634307005.21	20
1670634308018.7808	20
1670634309065.547	20
1670634310080.0823	20
1670634311094.3713	20
1670634312153.3853	20
1670634313213.1753	20
1670634314271.6428	20
1670634315291.5642	20
1670634316344.0752	20
1670634317392.0718	20
1670634318408.0774	20
