timestamp	mspt
1670635116682.3455	20.0
1670635117782.147	20.0
1670635118882.1155	20.0
1670635119981.6826	20.0
1670635121082.6372	20.0
1670635122182.4487	20.0
1670635123282.8818	19.801980198019802
1670635124344.8245	19.801980198019802
1670635125410.8389	20.0
1670635126514.0457	19.626168224299064
1670635127629.6113	20.0
1670635128730.7476	20.0
1670635129830.2493	20.0
1670635130931.2244	20.0
1670635132030.5276	20.0
1670635133131.2322	20.0
1670635134231.2546	20.0
1670635135331.2268	20.0
1670635136431.2192	20.0
1670635137531.3733	18.918918918918916
1670635138701.3342	20.0
1670635139801.6443	19.801980198019802
1670635140855.1177	20.0
1670635141956.08	20.0
1670635143056.788	20.0
1670635144156.0894	20.0
1670635145256.0708	20.0
1670635146358.9487	20.0
1670635147457.2195	20.0
1670635148557.5698	20.0
1670635149658.313	20.0
1670635150758.5178	20.0
1670635151858.2166	20.0
1670635152958.3174	20.0
1670635154058.9373	20.0
1670635155160.0962	20.0
1670635156258.6814	20.0
1670635157358.7817	20.0
1670635158459.0237	20.0
1670635159559.484	20.0
1670635160659.7173	20.0
1670635161760.6238	20.0
1670635162860.1033	20.0
1670635163960.0906	20.0
1670635165060.0713	20.0
1670635166161.6252	20.0
1670635167260.0728	20.0
1670635168363.1394	20.0
1670635169462.6924	20.0
1670635170563.532	20.0
1670635171663.2573	20.0
1670635172763.3074	20.0
1670635173863.1638	20.0
1670635174963.7512	20.0
1670635176064.0781	20.0
1670635177164.0952	20.0
1670635178264.7065	20.0
1670635179365.9946	20.0
1670635180465.9705	20.0
1670635181565.355	20.0
1670635182664.5447	20.0
1670635183768.0747	20.0
1670635184870.662	20.0
1670635185969.2153	20.0
1670635187069.3875	20.0
1670635188169.6357	20.0
1670635189269.7244	20.0
1670635190371.8032	20.0
1670635191470.5317	20.0
1670635192569.7715	20.0
1670635193671.3826	20.0
1670635194770.4236	20.0
1670635195872.0876	20.0
1670635196970.6147	20.0
1670635198071.0017	20.0
1670635199171.1409	20.0
1670635200272.0823	20.0
1670635201372.124	20.0
1670635202471.1963	20.0
1670635203572.6675	20.0
1670635204672.1038	20.0
1670635205772.0781	20.0
1670635206871.9521	20.0
1670635207971.8318	20.0
1670635209073.542	20.0
1670635210172.2217	19.81132075471698
1670635211272.07	20.0
1670635212373.3892	20.0
1670635213473.4688	20.0
1670635214573.4023	20.0
1670635215673.2012	20.0
1670635216773.5732	20.0
1670635217874.0066	20.0
1670635218974.865	20.0
1670635220074.3264	20.0
1670635221174.2422	20.0
1670635222275.214	20.0
1670635223374.93	19.801980198019802
1670635224439.316	20.0
1670635225540.0994	20.0
1670635226640.061	20.0
1670635227741.489	20.0
1670635228840.0789	20.0
1670635229940.0874	20.0
1670635231039.9739	20.0
1670635232140.0842	20.0
1670635233240.0662	20.0
1670635234340.0737	20.0
1670635235441.1086	20.0
1670635236542.081	20.0
1670635237642.2957	20.0
1670635238741.236	20.0
1670635239844.1113	20.0
1670635240941.6428	20.0
1670635242042.1985	19.801980198019802
1670635243099.9565	20.0
1670635244199.1846	20.0
1670635245300.1152	20.0
1670635246399.4644	20.0
1670635247500.099	20.0
1670635248600.6338	20.0
1670635249701.1233	20.0
1670635250801.5552	20.0
1670635251901.5	20.0
1670635253000.0686	20.0
1670635254100.1006	20.0
1670635255201.2686	20.0
1670635256300.611	20.0
1670635257401.603	20.0
1670635258501.7769	20.0
1670635259602.6187	20.0
1670635260701.559	19.607843137254903
1670635261770.7983	20.0
1670635262871.1858	20.0
1670635263970.5046	20.0
1670635265070.313	20.0
1670635266170.0315	20.0
1670635267270.6829	20.0
1670635268370.3916	20.0
1670635269470.3784	20.0
1670635270570.0266	20.0
1670635271672.0872	20.0
1670635272771.4739	20.0
1670635273871.3547	20.0
1670635274973.6738	20.0
1670635276070.6897	20.0
1670635277171.5505	20.0
1670635278273.2976	20.0
1670635279375.2485	20.0
1670635280475.679	19.81132075471698
1670635281583.8308	20.0
1670635282683.1677	20.0
1670635283785.22	20.0
1670635284885.1855	20.0
1670635285985.236	20.0
1670635287084.0588	20.0
1670635288185.5261	20.0
1670635289284.0825	20.0
1670635290392.095	20.0
1670635291492.6228	18.867924528301884
1670635292604.0728	21.153846153846153
1670635293696.099	20.0
1670635294797.7834	20.0
1670635295896.072	20.0
1670635296996.0674	20.0
1670635298096.5994	20.0
1670635299196.0708	20.0
1670635300296.0664	20.0
1670635301395.6401	20.0
1670635302496.1177	20.0
1670635303597.9365	20.0
1670635304699.9858	20.0
1670635305798.3806	20.0
1670635306899.3096	20.0
1670635308000.6294	20.0
1670635309100.0781	20.0
1670635310201.2385	20.0
1670635311302.7969	20.0
1670635312400.0688	20.0
1670635313500.0703	20.0
1670635314604.6462	20.0
1670635315701.2446	20.0
1670635316801.6838	20.0
1670635317908.0994	20.0
1670635319013.1506	19.801980198019802
1670635320069.3474	19.801980198019802
1670635321135.7234	19.801980198019802
1670635322193.8599	20.0
1670635323297.4385	20.0
1670635324398.587	19.607843137254903
1670635325465.488	20.0
1670635326571.1404	20.0
1670635327671.8289	20.0
1670635328774.8018	20.0
1670635329876.0947	20.0
1670635330931.4468	20.0
1670635332033.2874	20.0
1670635333084.6045	19.801980198019802
1670635334139.515	20.0
1670635335238.2	20.0
1670635336290.4792	20.0
1670635337389.5469	20.0
1670635338443.4458	20.0
1670635339546.6191	19.81132075471698
1670635340656.2805	19.801980198019802
1670635341716.668	20.0
1670635342821.8208	20.0
1670635343923.5862	19.801980198019802
1670635344978.263	19.801980198019802
1670635346038.7341	19.801980198019802
1670635347097.3765	19.801980198019802
1670635348177.4177	16.07142857142857
1670635349395.7588	3.7383177570093458
1670635350568.1353	19.607843137254903
1670635351626.874	23.52941176470588
1670635352691.1523	24.752475247524753
1670635353758.607	24.271844660194173
1670635354836.0503	20.754716981132074
1670635355968.0867	23.52941176470588
1670635357033.7795	20.588235294117645
1670635358099.0564	19.801980198019802
1670635359166.07	19.801980198019802
1670635360221.4233	19.801980198019802
1670635361293.362	19.801980198019802
1670635362351.3389	19.81132075471698
1670635363461.4783	19.607843137254903
1670635364546.5735	19.607843137254903
1670635365612.1028	19.607843137254903
1670635366682.9817	20.388349514563107
1670635367778.4126	20.0
1670635368873.297	19.23076923076923
1670635369958.1685	19.607843137254903
1670635371031.6987	18.627450980392158
1670635372088.1116	19.41747572815534
1670635373158.6257	17.59259259259259
1670635374335.0974	18.42105263157895
1670635375588.0762	21.69811320754717
1670635376702.7815	19.41747572815534
1670635377821.1543	20.0
1670635378916.1052	19.607843137254903
1670635380015.9565	20.19230769230769
1670635381123.9346	18.69158878504673
1670635382248.0703	19.23076923076923
1670635383334.309	18.26923076923077
1670635384427.8264	16.504854368932037
1670635385517.1055	14.150943396226415
1670635386616.0881	18.867924528301884
1670635387796.0737	18.446601941747574
1670635388916.6584	16.504854368932037
1670635390036.1	14.705882352941176
1670635391103.1782	15.238095238095237
1670635392215.0137	15.887850467289718
1670635393331.2644	16.346153846153847
1670635394423.0447	16.822429906542055
1670635395553.9385	13.084112149532709
1670635396680.079	15.238095238095237
1670635397843.2925	15.094339622641508
1670635398958.6145	14.423076923076923
1670635400042.6768	16.822429906542055
1670635401162.9773	15.686274509803921
1670635402238.7236	10.476190476190476
1670635403343.6687	15.238095238095237
1670635404450.9915	11.11111111111111
1670635405670.6194	14.705882352941176
1670635406756.6233	16.9811320754717
1670635407968.069	10.679611650485437
1670635409055.177	16.037735849056602
1670635410291.4795	12.745098039215685
1670635411365.339	13.513513513513512
1670635412550.6726	13.861386138613861
1670635413619.92	14.150943396226415
1670635414806.6746	12.745098039215685
1670635415875.628	12.962962962962962
1670635417024.0737	12.037037037037036
1670635418180.075	15.094339622641508
1670635419295.9158	8.181818181818182
1670635420469.8381	10.0
1670635421640.0847	12.499999999999998
1670635422825.2815	15.74074074074074
1670635424005.9795	14.705882352941176
1670635425106.1294	11.538461538461538
1670635426201.5374	13.084112149532709
1670635427335.8599	9.734513274336283
1670635428541.5432	12.745098039215685
1670635429664.0747	13.20754716981132
1670635430823.4841	11.76470588235294
1670635431952.0942	11.428571428571429
1670635433162.4978	10.185185185185185
1670635434368.0103	9.615384615384615
1670635435540.0828	12.38095238095238
1670635436668.0923	13.888888888888888
1670635437932.6763	9.174311926605505
1670635439094.4246	11.881188118811881
1670635440194.1428	11.11111111111111
1670635441355.7515	8.620689655172415
1670635442609.4355	10.2803738317757
1670635443739.386	9.345794392523365
1670635444885.7651	9.56521739130435
1670635446120.0793	10.185185185185185
1670635447272.052	8.910891089108912
1670635448352.0933	10.256410256410257
1670635449604.0693	11.111111111111112
1670635450915.426	12.149532710280374
1670635452083.9492	12.5
1670635453197.913	12.38095238095238
1670635454315.7354	11.926605504587155
1670635455521.4731	10.185185185185185
1670635456759.13	7.2727272727272725
1670635457984.0757	10.2803738317757
1670635459144.079	7.017543859649123
1670635460388.083	8.823529411764707
1670635461478.042	12.962962962962962
1670635462635.2036	8.49056603773585
1670635463858.7354	9.70873786407767
1670635464967.9045	11.111111111111112
1670635466255.8064	10.679611650485437
1670635467381.1821	7.894736842105264
1670635468621.6582	9.433962264150942
1670635469757.3647	9.70873786407767
1670635470860.0942	9.009009009009008
1670635472039.4539	11.009174311926605
1670635473212.0728	7.766990291262136
1670635474453.122	8.49056603773585
1670635475592.6416	8.849557522123895
1670635476841.8381	8.737864077669903
1670635477966.6953	9.345794392523365
1670635479142.5298	10.0
1670635480325.2583	10.576923076923077
1670635481434.476	11.818181818181817
1670635482662.4087	12.612612612612612
1670635483890.6729	11.76470588235294
1670635484983.4219	11.818181818181817
1670635486150.2673	11.320754716981131
1670635487285.7605	9.09090909090909
